ID,Category
0000.jpg,soccer_field
0001.jpg,city
0002.jpg,recreation_room
0003.jpg,naval_base
0004.jpg,city
0005.jpg,archive
0006.jpg,armory
0007.jpg,dining_hall
0008.jpg,canteen
0009.jpg,aquatic_theater
0010.jpg,badlands
0011.jpg,schoolhouse
0012.jpg,mansion
0013.jpg,palace
0014.jpg,windmill
0015.jpg,swamp
0016.jpg,sky
0017.jpg,repair_shop
0018.jpg,mine
0019.jpg,archive
0020.jpg,mountain
0021.jpg,closet
0022.jpg,gorge
0023.jpg,pharmacy
0024.jpg,videostore
0025.jpg,cafeteria
0026.jpg,butchers_shop
0027.jpg,piano_store
0028.jpg,assembly_line
0029.jpg,pharmacy
0030.jpg,videostore
0031.jpg,palace
0032.jpg,reading_room
0033.jpg,baseball_field
0034.jpg,bus_interior
0035.jpg,mountain_road
0036.jpg,kitchen
0037.jpg,valley
0038.jpg,shower
0039.jpg,airplane_cabin
0040.jpg,bamboo_forest
0041.jpg,courtroom
0042.jpg,office_building
0043.jpg,dining_car
0044.jpg,woodland
0045.jpg,courthouse
0046.jpg,trailer_park
0047.jpg,dining_car
0048.jpg,hallway
0049.jpg,dentists_office
0050.jpg,pharmacy
0051.jpg,shopfront
0052.jpg,armory
0053.jpg,shopfront
0054.jpg,rock_arch
0055.jpg,rainforest
0056.jpg,city
0057.jpg,windmill
0058.jpg,canteen
0059.jpg,ranch
0060.jpg,drugstore
0061.jpg,raceway
0062.jpg,manhole
0063.jpg,woodland
0064.jpg,corridor
0065.jpg,pharmacy
0066.jpg,bathroom
0067.jpg,windmill
0068.jpg,chemistry_lab
0069.jpg,lecture_room
0070.jpg,airfield
0071.jpg,chemistry_lab
0072.jpg,campsite
0073.jpg,sky
0074.jpg,lecture_room
0075.jpg,recreation_room
0076.jpg,dentists_office
0077.jpg,mansion
0078.jpg,bookstore
0079.jpg,videostore
0080.jpg,ballroom
0081.jpg,lecture_room
0082.jpg,mountain
0083.jpg,hayfield
0084.jpg,shopfront
0085.jpg,plaza
0086.jpg,bathroom
0087.jpg,armory
0088.jpg,sandbar
0089.jpg,water_mill
0090.jpg,street
0091.jpg,picnic_area
0092.jpg,dining_room
0093.jpg,hill
0094.jpg,lecture_room
0095.jpg,dining_hall
0096.jpg,cafeteria
0097.jpg,bamboo_forest
0098.jpg,baseball_field
0099.jpg,restaurant
0100.jpg,utility_room
0101.jpg,chemistry_lab
0102.jpg,football_field
0103.jpg,reading_room
0104.jpg,barn
0105.jpg,dining_car
0106.jpg,rainforest
0107.jpg,water_mill
0108.jpg,cliff
0109.jpg,bus_interior
0110.jpg,beach
0111.jpg,pet_shop
0112.jpg,assembly_line
0113.jpg,assembly_line
0114.jpg,videostore
0115.jpg,bathroom
0116.jpg,pharmacy
0117.jpg,city
0118.jpg,valley
0119.jpg,videostore
0120.jpg,rock_arch
0121.jpg,fort
0122.jpg,ice_shelf
0123.jpg,coffee_shop
0124.jpg,woodland
0125.jpg,office_cubicles
0126.jpg,swamp
0127.jpg,park
0128.jpg,motel
0129.jpg,newsroom
0130.jpg,utility_room
0131.jpg,fountain
0132.jpg,creek
0133.jpg,cemetery
0134.jpg,palace
0135.jpg,attic
0136.jpg,dining_car
0137.jpg,attic
0138.jpg,bar
0139.jpg,dining_car
0140.jpg,valley
0141.jpg,courtyard
0142.jpg,aquarium
0143.jpg,cottage_garden
0144.jpg,snowfield
0145.jpg,badlands
0146.jpg,pasture
0147.jpg,lawn
0148.jpg,airplane_cabin
0149.jpg,badlands
0150.jpg,sea_cliff
0151.jpg,ranch
0152.jpg,phone_booth
0153.jpg,freeway
0154.jpg,phone_booth
0155.jpg,golf_course
0156.jpg,crosswalk
0157.jpg,ocean
0158.jpg,cafeteria
0159.jpg,rainforest
0160.jpg,shower
0161.jpg,mansion
0162.jpg,palace
0163.jpg,videostore
0164.jpg,castle
0165.jpg,bathroom
0166.jpg,voting_booth
0167.jpg,restaurant
0168.jpg,lecture_room
0169.jpg,chemistry_lab
0170.jpg,gorge
0171.jpg,videostore
0172.jpg,mansion
0173.jpg,mountain
0174.jpg,recreation_room
0175.jpg,dining_car
0176.jpg,picnic_area
0177.jpg,utility_room
0178.jpg,dining_car
0179.jpg,shopfront
0180.jpg,badlands
0181.jpg,naval_base
0182.jpg,dorm_room
0183.jpg,plaza
0184.jpg,utility_room
0185.jpg,videostore
0186.jpg,dentists_office
0187.jpg,closet
0188.jpg,forest_road
0189.jpg,dam
0190.jpg,shopfront
0191.jpg,water_mill
0192.jpg,cottage_garden
0193.jpg,bathroom
0194.jpg,dorm_room
0195.jpg,armory
0196.jpg,winery
0197.jpg,ranch
0198.jpg,railway_yard
0199.jpg,picnic_area
0200.jpg,ranch_house
0201.jpg,cafeteria
0202.jpg,sky
0203.jpg,canteen
0204.jpg,park
0205.jpg,hospital
0206.jpg,coffee_shop
0207.jpg,piano_store
0208.jpg,sky
0209.jpg,palace
0210.jpg,utility_room
0211.jpg,chemistry_lab
0212.jpg,nightclub
0213.jpg,chemistry_lab
0214.jpg,fountain
0215.jpg,fire_station
0216.jpg,castle
0217.jpg,nightclub
0218.jpg,street
0219.jpg,sky
0220.jpg,castle
0221.jpg,shopfront
0222.jpg,mansion
